ds;y
2005-1;12701740
2005-2;10339360
2005-3;10129120
2005-4;9020440
2005-5;9340670
2005-6;8893760
2005-7;8506050
2005-8;9300760
2005-9;8711960
2005-10;9246440
2005-11;9499630
2005-12;10916750
2006-1;13121000
2006-2;10570000
2006-3;10706000
2006-4;8950000
2006-5;9286000
2006-6;8815000
2006-7;9286000
2006-8;9087000
2006-9;8716000
2006-10;9712000
2006-11;9776000
2006-12;12218000
2007-1;15608480
2007-2;12533480
2007-3;12600170
2007-4;11487200
2007-5;11137960
2007-6;10447310
2007-7;10777850
2007-8;9600370
2007-9;9837720
2007-10;10811780
2007-11;10413560
2007-12;12024710
2008-1;14271920
2008-2;12531640
2008-3;11841060
2008-4;10645770
2008-5;10454960
2008-6;9901910
2008-7;10455720
2008-8;9959430
2008-9;10143610
2008-10;10899150
2008-11;10882770
2008-12;13425720
2009-1;14356910
2009-2;12301520
2009-3;12159720
2009-4;10736590
2009-5;10255740
2009-6;10155720
2009-7;10499670
2009-8;10493330
2009-9;10671640
2009-10;10880450
2009-11;11751720
2009-12;13570380
2010-1;15199260
2010-2;12865110
2010-3;13029160
2010-4;11215205
2010-5;11355390
2010-6;10800430
2010-7;10725130
2010-8;10696020
2010-9;10724810
2010-10;10894390
2010-11;11712550
2010-12;13696240
2011-1;15850680
2011-2;12950630
2011-3;12966010
2011-4;11205770
2011-5;11542230
2011-6;10536390
2011-7;10921780
2011-8;11516700
2011-9;10915140
2011-10;11508570
2011-11;11857300
2011-12;13890520
2012-1;16215150
2012-2;13753530
2012-3;12821830
2012-4;12087015
2012-5;12467580
2012-6;11359110
2012-7;11415910
2012-8;12125850
2012-9;11108220
2012-10;12710045
2012-11;12622770
2012-12;14774290
2013-1;16861194
2013-2;13727430
2013-3;13295836
2013-4;13218720
2013-5;12216595
2013-6;11520710
2013-7;12039500
2013-8;11725500
2013-9;12088760
2013-10;13079372
2013-11;12636513
2013-12;15458150
2014-1;18236615
2014-2;13986851
2014-3;14564528
2014-4;13528643
2014-5;13087490
2014-6;12628420
2014-7;12977355
2014-8;12619161
2014-9;12651309
2014-10;14160683
2014-11;12547245
2014-12;15925952
2015-1;20606527
2015-2;17328405
2015-3;16869595
2015-4;15655572
2015-5;14815290
2015-6;15555793
2015-7;15270901
2015-8;14816288
2015-9;15344804
2015-10;15473307
2015-11;16164170
2015-12;19627518
2016-1;21713390
2016-2;19308430
2016-3;17554467
2016-4;16156430
2016-5;15767925
2016-6;14375155
2016-7;14610529
2016-8;15351784
2016-9;15174830
2016-10;15292834
2016-11;15208656
2016-12;18187725
2017-1;22064650
2017-2;17773360
2017-3;18966330
2017-4;16057750
2017-5;17134070
2017-6;16431970
2017-7;15801300
2017-8;15200000
2017-9;14377000
2017-10;15806000
2017-11;15084000
2017-12;17692000
2018-1;22099000
2018-2;16875000
2018-3;16751000
2018-4;16167000
2018-5;15054000
2018-6;14392000
2018-7;14879000
2018-8;14760000
2018-9;14535000
2018-10;16517000
2018-11;15701000
2018-12;18057000
2019-1;21144000
2019-2;16178000
2019-3;17070000
2019-4;16189000
2019-5;15807000
2019-6;14674000
2019-7;15453000
2019-8;14793000
2019-9;14625000
2019-10;16527000
2019-11;16547000
2019-12;19053000
2020-1;21111000
2020-2;17623000
2020-3;15984000
2020-4;12741000
2020-5;13618000
2020-6;14447000
2020-7;15510000
2020-8;14649000
2020-9;14890000
2020-10;16098000
2020-11;15091000
2020-12;19313000
2021-1;21358000
2021-2;18328000
2021-3;17540000
2021-4;15602000
2021-5;15487000
2021-6;15152000
2021-7;15281000
2021-8;15173000
2021-9;14691000
2021-10;15897000
2021-11;16880000
2021-12;21677000
2022-1;20394000
2022-2;16357000
2022-3;18649000
2022-4;16100000
2022-5;16550000
2022-6;15363000
2022-7;15401000
2022-8;16153000
2022-9;15577000
2022-10;16063000
2022-11;15299000
2022-12;20801000
2023-1;21657000
2023-2;18511000
2023-3;19393000
2023-4;16917000
2023-5;17485000
2023-6;16164000
