y;ds
01/01/2017;20243
01/02/2017;16431
01/03/2017;17147
01/04/2017;14550
01/05/2017;15574
01/06/2017;14579
01/07/2017;14508
01/08/2017;15200
01/09/2017;14377
01/10/2017;15806
01/11/2017;15084
01/12/2017;17692
01/01/2018;22099
01/02/2018;16875
01/03/2018;16751
01/04/2018;16167
01/05/2018;15054
01/06/2018;14392
01/07/2018;14879
01/08/2018;14760
01/09/2018;14535
01/10/2018;16517
01/11/2018;15701
01/12/2018;18057
01/01/2019;21144
01/02/2019;16178
01/03/2019;17070
01/04/2019;16189
01/05/2019;15807
01/06/2019;14674
01/07/2019;15453
01/08/2019;14793
01/09/2019;14625
01/10/2019;16527
01/11/2019;16547
01/12/2019;19053
01/01/2020;21111
01/02/2020;17623
01/03/2020;15984
01/04/2020;12741
01/05/2020;13618
01/06/2020;14447
01/07/2020;15510
01/08/2020;14649
01/09/2020;14890
01/10/2020;16098
01/11/2020;15091
01/12/2020;19313
01/01/2021;20752
01/02/2021;18328
01/03/2021;17540
01/04/2021;15602
01/05/2021;15487
01/06/2021;15152
01/07/2021;15281
01/08/2021;15173
01/09/2021;14691
01/10/2021;15897
01/11/2021;16880
01/12/2021;21677
01/01/2022;20394
01/02/2022;16357
01/03/2022;18649
01/04/2022;16100
01/05/2022;16550
01/06/2022;15363
01/07/2022;15401
01/08/2022;16153
01/09/2022;15577
01/10/2022;16063
01/11/2022;15299
01/12/2022;20801
01/01/2023;21657
01/02/2023;18511
01/03/2023;19393
01/04/2023;16917
01/05/2023;17485
01/06/2023;16164
