ds;y
2017-1-1;20243
2017-2-1;16431
2017-3-1;17147
2017-4-1;14550
2017-5-1;15574
2017-6-1;14579
2017-7-1;14508
2017-8-1;15200
2017-9-1;14377
2017-10-1;15806
2017-11-1;15084
2017-12-1;17692
2018-1-1;22099
2018-2-1;16875
2018-3-1;16751
2018-4-1;16167
2018-5-1;15054
2018-6-1;14392
2018-7-1;14879
2018-8-1;14760
2018-9-1;14535
2018-10-1;16517
2018-11-1;15701
2018-12-1;18057
2019-1-1;21144
2019-2-1;16178
2019-3-1;17070
2019-4-1;16189
2019-5-1;15807
2019-6-1;14674
2019-7-1;15453
2019-8-1;14793
2019-9-1;14625
2019-10-1;16527
2019-11-1;16547
2019-12-1;19053
2020-1-1;21111
2020-2-1;17623
2020-3-1;15984
2020-4-1;12741
2020-5-1;13618
2020-6-1;14447
2020-7-1;15510
2020-8-1;14649
2020-9-1;14890
2020-10-1;16098
2020-11-1;15091
2020-12-1;19313
2021-1-1;20752
2021-2-1;18328
2021-3-1;17540
2021-4-1;15602
2021-5-1;15487
2021-6-1;15152
2021-7-1;15281
2021-8-1;15173
2021-9-1;14691
2021-10-1;15897
2021-11-1;16880
2021-12-1;21677
2022-1-1;20394
2022-2-1;16357
2022-3-1;18649
2022-4-1;16100
2022-5-1;16550
2022-6-1;15363
2022-7-1;15401
2022-8-1;16153
2022-9-1;15577
2022-10-1;16063
2022-11-1;15299
2022-12-1;20801
2023-1-1;21657
2023-2-1;18511
2023-3-1;19393
2023-4-1;16917
2023-5-1;17485
2023-6-1;16164
